gene,gene_category
RNMT,common essential
RNPC3,common essential
RNPS1,common essential
RPA1,common essential
RPA2,common essential
RPAIN,common essential
RPAP1,common essential
RPF1,common essential
RPF2,common essential
RPIA,common essential
RPL10A,common essential
RPL11,common essential
RPL12,common essential
RPL13,common essential
RPL15,common essential
RPL18,common essential
RPL18A,common essential
RPL19,common essential
RPL22L1,common essential
RPL23A,common essential
RPL27,common essential
RPL27A,common essential
RPL29,common essential
RPL3,common essential
RPL31,common essential
RPL38,common essential
RPL4,common essential
RPL7L1,common essential
RPL9,common essential
RPLP0,common essential
RPLP2,common essential
RPN1,common essential
RPN2,common essential
RPP14,common essential
RPP30,common essential
RPP38,common essential
RPP40,common essential
RPRD1B,common essential
RPS10,common essential
RPS11,common essential
RPS12,common essential
RPS13,common essential
RPS15,common essential
RPS15A,common essential
RPS18,common essential
RPS19BP1,common essential
RPS2,common essential
RPS21,common essential
RPS25,common essential
RPS29,common essential
RPS4X,common essential
RPS6,common essential
RPS8,common essential
RPS9,common essential
RPTOR,common essential
RPUSD4,common essential
RRM1,common essential
RRM2,common essential
RRP1,common essential
RRP12,common essential
RRP15,common essential
RRP36,common essential
RRP7A,common essential
RRP9,common essential
RSL1D1,common essential
RSRC2,common essential
RTEL1,common essential
RTF1,common essential
RTTN,common essential
RUVBL1,common essential
RUVBL2,common essential
SACM1L,common essential
SAE1,common essential
SAMD4B,common essential
SAMM50,common essential
SAP130,common essential
SAP18,common essential
SARS,common essential
SARS2,common essential
SART1,common essential
SART3,common essential
SCD,common essential
SCFD1,common essential
SCO1,common essential
SDAD1,common essential
SDE2,common essential
SDHA,common essential
SDHB,common essential
SEC13,common essential
SEC16A,common essential
SEC61A1,common essential
SEC61B,common essential
SEC62,common essential
SEC63,common essential
SEH1L,common essential
SENP6,common essential
SEPSECS,common essential
SF1,common essential
SF3A1,common essential
SF3A2,common essential
SF3B1,common essential
SF3B2,common essential
SF3B3,common essential
SFPQ,common essential
SFSWAP,common essential
SHOC2,common essential
SHQ1,common essential
SKA1,common essential
SKA2,common essential
SKA3,common essential
SLC25A26,common essential
SLC25A3,common essential
SLC35B1,common essential
SLC7A6OS,common essential
SLU7,common essential
SMARCA5,common essential
SMARCB1,common essential
SMC1A,common essential
SMC2,common essential
SMC3,common essential
SMC4,common essential
SMC5,common essential
SMC6,common essential
SMG1,common essential
SMG5,common essential
SMG6,common essential
SMNDC1,common essential
SNAPC1,common essential
SNAPC3,common essential
SNF8,common essential
SNIP1,common essential
SNRNP200,common essential
SNRNP27,common essential
SNRNP35,common essential
SNRNP40,common essential
SNRNP48,common essential
SNRNP70,common essential
SNRPB,common essential
SNRPC,common essential
SNRPD2,common essential
SNRPD3,common essential
SNRPE,common essential
SNRPF,common essential
SNW1,common essential
SOD1,common essential
SOD2,common essential
SON,common essential
SPATA5,common essential
SPATA5L1,common essential
SPC24,common essential
SPC25,common essential
SPCS3,common essential
SPDL1,common essential
SPRTN,common essential
SRBD1,common essential
SRCAP,common essential
SRF,common essential
SRFBP1,common essential
SRP19,common essential
SRP68,common essential
SRP72,common essential
SRP9,common essential
SRPRB,common essential
SRRM1,common essential
SRRT,common essential
SRSF1,common essential
SRSF11,common essential
SRSF2,common essential
SRSF7,common essential
SSRP1,common essential
SSU72,common essential
STIL,common essential
STRIP1,common essential
STX18,common essential
STX5,common essential
SUDS3,common essential
SUGP1,common essential
SUGT1,common essential
SUPT16H,common essential
SUPT4H1,common essential
SUPT5H,common essential
SUPT6H,common essential
SUPV3L1,common essential
SURF6,common essential
SYMPK,common essential
SYS1,common essential
TACC3,common essential
TAF1,common essential
TAF12,common essential
TAF13,common essential
TAF1B,common essential
TAF1C,common essential
TAF5,common essential
TAF6,common essential
TAF6L,common essential
TANGO6,common essential
TARS,common essential
TARS2,common essential
TBCA,common essential
TBCB,common essential
TBCD,common essential
TCERG1,common essential
TCP1,common essential
TECR,common essential
TEFM,common essential
TEX10,common essential
TFAM,common essential
TFB1M,common essential
THOC1,common essential
THOC5,common essential
THOC7,common essential
TICRR,common essential
TIMELESS,common essential
TIMM10,common essential
TIMM22,common essential
TIMM44,common essential
TIMM50,common essential
TINF2,common essential
TIPRL,common essential
TKT,common essential
TMA16,common essential
TMED10,common essential
TMED2,common essential
TMEM199,common essential
TMEM258,common essential
TMEM41B,common essential
TNPO3,common essential
TOMM22,common essential
TOMM40,common essential
TOP1,common essential
TOP2A,common essential
TOP3A,common essential
TOPBP1,common essential
TP53RK,common essential
TPR,common essential
TPT1,common essential
TPX2,common essential
TRAIP,common essential
TRAPPC1,common essential
TRAPPC11,common essential
TRAPPC3,common essential
TRAPPC4,common essential
TRAPPC8,common essential
TRIAP1,common essential
TRMT5,common essential
TRMT6,common essential
TRMT61A,common essential
TRNAU1AP,common essential
TRRAP,common essential
TRUB2,common essential
TSEN2,common essential
TSEN54,common essential
TSG101,common essential
TSR1,common essential
TSR2,common essential
TTC1,common essential
TTC27,common essential
TTF1,common essential
TTF2,common essential
TTI1,common essential
TTK,common essential
TUBA1B,common essential
TUBB,common essential
TUBD1,common essential
TUBE1,common essential
TUBG1,common essential
TUBGCP3,common essential
TUBGCP4,common essential
TUBGCP6,common essential
TUFM,common essential
TUT1,common essential
TWISTNB,common essential
TXN,common essential
TXNL4A,common essential
U2AF1,common essential
U2AF2,common essential
U2SURP,common essential
UBA1,common essential
UBA2,common essential
UBA3,common essential
UBE2I,common essential
UBE2M,common essential
UBE3D,common essential
UBL5,common essential
UBR4,common essential
UBTF,common essential
UCHL5,common essential
UMPS,common essential
UPF1,common essential
UPF2,common essential
UQCRC1,common essential
UQCRFS1,common essential
UQCRQ,common essential
URB1,common essential
URB2,common essential
URI1,common essential
URM1,common essential
UROD,common essential
USE1,common essential
USP36,common essential
USP37,common essential
USP39,common essential
USP5,common essential
USPL1,common essential
UTP14A,common essential
UTP15,common essential
UTP18,common essential
UTP20,common essential
UTP6,common essential
UVRAG,common essential
UXT,common essential
VARS,common essential
VCP,common essential
VMP1,common essential
VPS13D,common essential
VPS25,common essential
VPS29,common essential
VPS52,common essential
VPS53,common essential
VPS72,common essential
WARS,common essential
WARS2,common essential
WBP11,common essential
WDHD1,common essential
WDR12,common essential
WDR18,common essential
WDR25,common essential
WDR3,common essential
WDR33,common essential
